Group,Conc,Latency
Syt-1,30,18.16667
Syt-1,30,18.16667
Syt-1,30,18.16667
Syt-1,30,18.16667
Syt-1,30,18.33333
Syt-1,30,18.33333
Syt-1,30,18.33333
Syt-1,30,18.33333
Syt-1,30,18.33333
Syt-1,30,18.5
Syt-1,30,18.5
Syt-1,30,18.5
Syt-1,30,18.5
Syt-1,30,18.5
Syt-1,30,18.5
Syt-1,30,18.66667
Syt-1,30,18.66667
Syt-1,30,18.66667
Syt-1,30,18.66667
Syt-1,30,18.83333
Syt-1,30,18.83333
Syt-1,30,18.83333
Syt-1,30,19
Syt-1,30,19
Syt-1,30,19
Syt-1,30,19
Syt-1,30,19.16667
Syt-1,30,19.16667
Syt-1,30,19.16667
Syt-1,30,19.5
Syt-1,30,19.5
Syt-1,30,20
Syt-1,30,20
Syt-1,30,20
Syt-1,30,20.33333
Syt-1,30,20.33333
Syt-1,30,20.33333
Syt-1,30,20.33333
Syt-1,30,20.66667
Syt-1,30,20.66667
Syt-1,30,20.66667
Syt-1,30,20.83333
Syt-1,30,20.83333
Syt-1,30,21
Syt-1,30,21
Syt-1,30,21
Syt-1,30,21
Syt-1,30,21.16667
Syt-1,30,21.33333
Syt-1,30,21.33333
Syt-1,30,21.66667
Syt-1,30,21.66667
Syt-1,30,21.83333
Syt-1,30,21.83333
Syt-1,30,22.16667
Syt-1,30,22.5
Syt-1,30,22.83333
Syt-1,30,22.83333
Syt-1,30,22.83333
Syt-1,30,22.83333
Syt-1,30,23.33333
Syt-1,30,23.5
Syt-1,30,23.5
Syt-1,30,23.83333
Syt-1,30,23.83333
Syt-1,30,24.16667
Syt-1,30,24.66667
Syt-1,30,24.66667
Syt-1,30,24.66667
Syt-1,30,25.83333
Syt-1,30,26.16667
Syt-1,30,26.5
Syt-1,30,27.33333
Syt-1,30,28
Syt-1,30,40.66667
Syt-1,30,44.66667
Syt-1,30,17
Syt-1,30,17.16667
Syt-1,30,17.16667
Syt-1,30,17.16667
Syt-1,30,17.16667
Syt-1,30,17.16667
Syt-1,30,17.16667
Syt-1,30,17.16667
Syt-1,30,17.16667
Syt-1,30,17.33333
Syt-1,30,17.33333
Syt-1,30,17.33333
Syt-1,30,17.33333
Syt-1,30,17.33333
Syt-1,30,17.33333
Syt-1,30,17.5
Syt-1,30,17.5
Syt-1,30,17.5
Syt-1,30,17.5
Syt-1,30,17.5
Syt-1,30,17.5
Syt-1,30,17.5
Syt-1,30,17.66667
Syt-1,30,17.66667
Syt-1,30,17.66667
Syt-1,30,17.66667
Syt-1,30,17.66667
Syt-1,30,17.66667
Syt-1,30,17.83333
Syt-1,30,17.83333
Syt-1,30,17.83333
Syt-1,30,17.83333
Syt-1,30,17.83333
Syt-1,30,17.83333
Syt-1,30,17.83333
Syt-1,30,18
Syt-1,30,18
Syt-1,30,18
Syt-1,30,18
Syt-1,30,18
Syt-1,30,18
Syt-1,30,18.16667
Syt-1,30,18.16667
Syt-1,30,18.16667
Syt-1,30,18.16667
Syt-1,30,18.33333
Syt-1,30,18.33333
Syt-1,30,18.33333
Syt-1,30,18.33333
Syt-1,30,18.5
Syt-1,30,18.5
Syt-1,30,18.5
Syt-1,30,18.66667
Syt-1,30,18.66667
Syt-1,30,18.83333
Syt-1,30,18.83333
Syt-1,30,18.83333
Syt-1,30,19
Syt-1,30,19
Syt-1,30,19.16667
Syt-1,30,19.16667
Syt-1,30,20.83333
Syt-1,30,21
Syt-1,30,21
Syt-1,30,21.66667
Syt-1,30,21.66667
Syt-1,30,22
Syt-1,30,22.83333
Syt-1,30,22.83333
Syt-1,30,23.33333
Syt-1,30,24.16667
Syt-1,30,24.16667
Syt-1,30,24.66667
Syt-1,30,24.66667
Syt-1,30,25.33333
Syt-1,30,25.33333
Syt-1,30,26.16667
Syt-1,30,26.16667
Syt-1,30,26.5
Syt-1,30,26.83333
Syt-1,30,26.83333
Syt-1,30,27.5
Syt-1,30,28.83333
Syt-1,30,31.33333
Syt-1,30,31.5
Syt-1,30,32
Syt-1,30,43.16667
Syt-1,30,12.83333
Syt-1,30,12.83333
Syt-1,30,12.83333
Syt-1,30,12.83333
Syt-1,30,12.83333
Syt-1,30,13.16667
Syt-1,30,13.16667
Syt-1,30,13.16667
Syt-1,30,13.16667
Syt-1,30,13.16667
Syt-1,30,13.33333
Syt-1,30,13.33333
Syt-1,30,13.33333
Syt-1,30,13.5
Syt-1,30,13.5
Syt-1,30,13.5
Syt-1,30,13.5
Syt-1,30,13.66667
Syt-1,30,13.66667
Syt-1,30,13.66667
Syt-1,30,13.66667
Syt-1,30,13.83333
Syt-1,30,13.83333
Syt-1,30,13.83333
Syt-1,30,13.83333
Syt-1,30,13.83333
Syt-1,30,14
Syt-1,30,14
Syt-1,30,14
Syt-1,30,14
Syt-1,30,14.16667
Syt-1,30,14.16667
Syt-1,30,14.16667
Syt-1,30,14.33333
Syt-1,30,14.33333
Syt-1,30,14.33333
Syt-1,30,14.33333
Syt-1,30,14.5
Syt-1,30,14.5
Syt-1,30,14.5
Syt-1,30,14.5
Syt-1,30,14.66667
Syt-1,30,14.66667
Syt-1,30,14.66667
Syt-1,30,14.66667
Syt-1,30,14.83333
Syt-1,30,14.83333
Syt-1,30,15
